crypto,date,split,model_type,y_true,y_pred
ADAUSDT,2024-01-01,val,baseline,-0.14107859,-0.01690824
ADAUSDT,2024-01-02,val,baseline,-0.16612288,-0.020519014
ADAUSDT,2024-01-03,val,baseline,0.016208388,-0.017644893
ADAUSDT,2024-01-04,val,baseline,0.02100954,-0.018345505
ADAUSDT,2024-01-05,val,baseline,0.011386716,-0.017706566
ADAUSDT,2024-01-06,val,baseline,0.049272887,-0.018318057
ADAUSDT,2024-01-07,val,baseline,0.06004157,-0.018315684
ADAUSDT,2024-01-08,val,baseline,-0.025450476,-0.0192906
ADAUSDT,2024-01-09,val,baseline,0.044282045,-0.018662706
ADAUSDT,2024-01-10,val,baseline,-0.06911908,-0.01807532
ADAUSDT,2024-01-11,val,baseline,-0.14667583,-0.015894063
ADAUSDT,2024-01-12,val,baseline,-0.082175486,-0.013837393
ADAUSDT,2024-01-13,val,baseline,-0.06217381,-0.01474214
ADAUSDT,2024-01-14,val,baseline,-0.042601015,-0.01619042
ADAUSDT,2024-01-15,val,baseline,-0.09747325,-0.017160762
ADAUSDT,2024-01-16,val,baseline,-0.11524239,-0.017642554
ADAUSDT,2024-01-17,val,baseline,-0.10300728,-0.019101411
ADAUSDT,2024-01-18,val,baseline,-0.07432227,-0.018555488
ADAUSDT,2024-01-19,val,baseline,-0.03942692,-0.017880697
ADAUSDT,2024-01-20,val,baseline,-0.059486702,-0.018103968
ADAUSDT,2024-01-21,val,baseline,-0.025970256,-0.01928794
ADAUSDT,2024-01-22,val,baseline,0.094436035,-0.018361356
ADAUSDT,2024-01-23,val,baseline,0.07329953,-0.017523527
ADAUSDT,2024-01-24,val,baseline,0.043328818,-0.018119615
ADAUSDT,2024-01-25,val,baseline,0.08461531,-0.018775467
ADAUSDT,2024-01-26,val,baseline,0.059447214,-0.020317242
ADAUSDT,2024-01-27,val,baseline,0.052485507,-0.021635044
ADAUSDT,2024-01-28,val,baseline,0.0063027553,-0.021782268
ADAUSDT,2024-01-29,val,baseline,-0.061956305,-0.01982091
ADAUSDT,2024-01-30,val,baseline,-0.030242447,-0.017809913
ADAUSDT,2024-01-31,val,baseline,0.009201906,-0.016588569
ADAUSDT,2024-02-01,val,baseline,0.04354377,-0.015354242
ADAUSDT,2024-02-02,val,baseline,0.049474698,-0.012953293
ADAUSDT,2024-02-03,val,baseline,0.07353627,-0.012294639
ADAUSDT,2024-02-04,val,baseline,0.092838176,-0.014658939
ADAUSDT,2024-02-05,val,baseline,0.123162284,-0.015513301
ADAUSDT,2024-02-06,val,baseline,0.089399986,-0.015063394
ADAUSDT,2024-02-07,val,baseline,0.13849714,-0.010713279
ADAUSDT,2024-02-08,val,baseline,0.13769409,-0.0007157624
ADAUSDT,2024-02-09,val,baseline,0.101729,0.009553978
ADAUSDT,2024-02-10,val,baseline,0.100161165,0.01731081
ADAUSDT,2024-02-11,val,baseline,0.13443144,0.022160588
ADAUSDT,2024-02-12,val,baseline,0.12048166,0.026867468
ADAUSDT,2024-02-13,val,baseline,0.13169451,0.026669797
ADAUSDT,2024-02-14,val,baseline,0.037432067,0.030918375
ADAUSDT,2024-02-15,val,baseline,-0.038347103,0.038338363
ADAUSDT,2024-02-16,val,baseline,-0.027436098,0.038982544
ADAUSDT,2024-02-17,val,baseline,-0.02105341,0.03842129
ADAUSDT,2024-02-18,val,baseline,-0.0460972,0.040685445
ADAUSDT,2024-02-19,val,baseline,-0.018722044,0.042262826
ADAUSDT,2024-02-20,val,baseline,0.0036933,0.042764086
ADAUSDT,2024-02-21,val,baseline,0.048726544,0.038381837
ADAUSDT,2024-02-22,val,baseline,0.11119868,0.03259531
ADAUSDT,2024-02-23,val,baseline,0.21139903,0.02732922
ADAUSDT,2024-02-24,val,baseline,0.21706042,0.024308613
ADAUSDT,2024-02-25,val,baseline,0.20767108,0.021533687
ADAUSDT,2024-02-26,val,baseline,0.21825357,0.023038538
ADAUSDT,2024-02-27,val,baseline,0.10402929,0.02717806
ADAUSDT,2024-02-28,val,baseline,0.15608025,0.035680488
ADAUSDT,2024-02-29,val,baseline,0.12611508,0.04942155
ADAUSDT,2024-03-01,val,baseline,0.0045760325,0.06133575
ADAUSDT,2024-03-02,val,baseline,0.0,0.07167606
ADAUSDT,2024-03-03,val,baseline,-0.015645871,0.072110094
ADAUSDT,2024-03-04,val,baseline,0.0068586487,0.076169774
ADAUSDT,2024-03-05,val,baseline,0.07751727,0.07533131
ADAUSDT,2024-03-06,val,baseline,0.03857154,0.070416555
ADAUSDT,2024-03-07,val,baseline,0.010980292,0.063857526
ADAUSDT,2024-03-08,val,baseline,0.006343974,0.055730805
ADAUSDT,2024-03-09,val,baseline,-0.11793475,0.04738879
ADAUSDT,2024-03-10,val,baseline,-0.050368298,0.037587073
ADAUSDT,2024-03-11,val,baseline,-0.16068475,0.03608453
ADAUSDT,2024-03-12,val,baseline,-0.2435345,0.032262288
ADAUSDT,2024-03-13,val,baseline,-0.177463,0.02854717
ADAUSDT,2024-03-14,val,baseline,-0.1726996,0.029198926
ADAUSDT,2024-03-15,val,baseline,-0.16834219,0.026301105
ADAUSDT,2024-03-16,val,baseline,-0.056007773,0.021509876
ADAUSDT,2024-03-17,val,baseline,-0.05211238,0.013186146
ADAUSDT,2024-03-18,val,baseline,-0.005466984,0.007373132
ADAUSDT,2024-03-19,val,baseline,0.12578489,0.006806396
ADAUSDT,2024-03-20,val,baseline,0.012739026,-0.0005752109
ADAUSDT,2024-03-21,val,baseline,0.030090353,-0.0062512457
ADAUSDT,2024-03-22,val,baseline,0.07759951,-0.010197889
ADAUSDT,2024-03-23,val,baseline,0.03220992,-0.0148201175
ADAUSDT,2024-03-24,val,baseline,0.0050890697,-0.019458283
ADAUSDT,2024-03-25,val,baseline,-0.0555742,-0.02103389
ADAUSDT,2024-03-26,val,baseline,-0.13555276,-0.021802329
ADAUSDT,2024-03-27,val,baseline,-0.12917447,-0.020993713
ADAUSDT,2024-03-28,val,baseline,-0.11030454,-0.02115849
ADAUSDT,2024-03-29,val,baseline,-0.14593026,-0.021124523
ADAUSDT,2024-03-30,val,baseline,-0.097861595,-0.023241345
ADAUSDT,2024-03-31,val,baseline,-0.098360516,-0.02475724
ADAUSDT,2024-04-01,val,baseline,-0.012146882,-0.02438638
ADAUSDT,2024-04-02,val,baseline,0.017920097,-0.022673625
ADAUSDT,2024-04-03,val,baseline,0.029253492,-0.020935133
ADAUSDT,2024-04-04,val,baseline,0.004619736,-0.020100769
ADAUSDT,2024-04-05,val,baseline,-0.13281003,-0.01956322
ADAUSDT,2024-04-06,val,baseline,-0.27136627,-0.02070788
ADAUSDT,2024-04-07,val,baseline,-0.23179424,-0.021301612
ADAUSDT,2024-04-08,val,baseline,-0.28610817,-0.020877328
ADAUSDT,2024-04-09,val,baseline,-0.2546304,-0.019248955
ADAUSDT,2024-04-10,val,baseline,-0.27783647,-0.017030038
ADAUSDT,2024-04-11,val,baseline,-0.24610925,-0.016200673
ADAUSDT,2024-04-12,val,baseline,-0.071098015,-0.0069154687
ADAUSDT,2024-04-13,val,baseline,0.13105586,0.0028305575
ADAUSDT,2024-04-14,val,baseline,0.06623567,0.0010052733
ADAUSDT,2024-04-15,val,baseline,0.114064395,-0.0022568963
ADAUSDT,2024-04-16,val,baseline,0.08708411,-0.0072602667
ADAUSDT,2024-04-17,val,baseline,0.06664778,-0.010136757
ADAUSDT,2024-04-18,val,baseline,0.026926775,-0.01349736
ADAUSDT,2024-04-19,val,baseline,-0.010952542,-0.013888203
ADAUSDT,2024-04-20,val,baseline,-0.08150605,-0.014407758
ADAUSDT,2024-04-21,val,baseline,-0.08132867,-0.014996786
ADAUSDT,2024-04-22,val,baseline,-0.12256025,-0.015023492
ADAUSDT,2024-04-23,val,baseline,-0.1251098,-0.014984056
ADAUSDT,2024-04-24,val,baseline,-0.053002562,-0.013961028
ADAUSDT,2024-04-25,val,baseline,-0.027363552,-0.012884468
ADAUSDT,2024-04-26,val,baseline,0.009028437,-0.013506919
ADAUSDT,2024-04-27,val,baseline,-0.009024557,-0.013619792
ADAUSDT,2024-04-28,val,baseline,-0.0050092665,-0.014270052
ADAUSDT,2024-04-29,val,baseline,-0.006584747,-0.014953587
ADAUSDT,2024-04-30,val,baseline,0.00045320645,-0.015312832
ADAUSDT,2024-05-01,val,baseline,0.0037698238,-0.0144117065
ADAUSDT,2024-05-02,val,baseline,0.012373977,-0.014847275
ADAUSDT,2024-05-03,val,baseline,-0.042401455,-0.015306823
ADAUSDT,2024-05-04,val,baseline,-0.05387538,-0.016549453
ADAUSDT,2024-05-05,val,baseline,-0.045335438,-0.018112492
ADAUSDT,2024-05-06,val,baseline,-0.038842015,-0.01867764
ADAUSDT,2024-05-07,val,baseline,-0.029660756,-0.019458875
ADAUSDT,2024-05-08,val,baseline,0.0013271403,-0.01848603
ADAUSDT,2024-05-09,val,baseline,-0.0082322825,-0.017914359
ADAUSDT,2024-05-10,val,baseline,0.074203655,-0.0183812
ADAUSDT,2024-05-11,val,baseline,0.0934447,-0.020143606
ADAUSDT,2024-05-12,val,baseline,0.06522369,-0.020574149
ADAUSDT,2024-05-13,val,baseline,0.13912469,-0.017900053
ADAUSDT,2024-05-14,val,baseline,0.14345862,-0.015487727
ADAUSDT,2024-05-15,val,baseline,0.06648457,-0.0127928965
ADAUSDT,2024-05-16,val,baseline,0.012752794,-0.007854987
ADAUSDT,2024-05-17,val,baseline,-0.047329787,0.00051089004
ADAUSDT,2024-05-18,val,baseline,-0.041730084,0.0068952404
ADAUSDT,2024-05-19,val,baseline,-0.019669931,0.008143056
ADAUSDT,2024-05-20,val,baseline,-0.06949101,0.016106602
ADAUSDT,2024-05-21,val,baseline,-0.07775392,0.020435184
ADAUSDT,2024-05-22,val,baseline,-0.06914061,0.02008811
ADAUSDT,2024-05-23,val,baseline,-0.041887496,0.018220562
ADAUSDT,2024-05-24,val,baseline,-0.028885262,0.015494419
ADAUSDT,2024-05-25,val,baseline,-0.027188696,0.013240321
ADAUSDT,2024-05-26,val,baseline,-0.0256481,0.01094665
ADAUSDT,2024-05-27,val,baseline,-0.023769485,0.01078248
ADAUSDT,2024-05-28,val,baseline,0.008486614,0.0096481
ADAUSDT,2024-05-29,val,baseline,0.02213789,0.0072841197
ADAUSDT,2024-05-30,val,baseline,0.025866369,0.0042236634
ADAUSDT,2024-05-31,val,baseline,0.004909628,0.0013286136
ADAUSDT,2024-06-01,val,baseline,-0.029549912,-0.001333721
ADAUSDT,2024-06-02,val,baseline,-0.0051644887,-0.0029531792
ADAUSDT,2024-06-03,val,baseline,-0.037202198,-0.003230717
ADAUSDT,2024-06-04,val,baseline,-0.08947674,-0.0020124093
ADAUSDT,2024-06-05,val,baseline,-0.052286405,0.0005909018
ADAUSDT,2024-06-06,val,baseline,-0.084672935,0.00274311
ADAUSDT,2024-06-07,val,baseline,-0.08644488,0.0069172867
ADAUSDT,2024-06-08,val,baseline,-0.05360945,0.0049908496
ADAUSDT,2024-06-09,val,baseline,-0.06366842,0.0015426986
ADAUSDT,2024-06-10,val,baseline,-0.09342816,-0.00043672696
ADAUSDT,2024-06-11,val,baseline,-0.09514432,-0.003546346
ADAUSDT,2024-06-12,val,baseline,-0.13007851,-0.007248156
ADAUSDT,2024-06-13,val,baseline,-0.090949155,-0.009420898
ADAUSDT,2024-06-14,val,baseline,-0.0914342,-0.011802625
ADAUSDT,2024-06-15,val,baseline,-0.07366214,-0.0145615
ADAUSDT,2024-06-16,val,baseline,-0.09243524,-0.015807517
ADAUSDT,2024-06-17,val,baseline,-0.060609046,-0.015168499
ADAUSDT,2024-06-18,val,baseline,0.020890508,-0.014378246
ADAUSDT,2024-06-19,val,baseline,0.0015596572,-0.014848385
ADAUSDT,2024-06-20,val,baseline,0.017790852,-0.014864273
ADAUSDT,2024-06-21,val,baseline,0.025729958,-0.014226604
ADAUSDT,2024-06-22,val,baseline,-0.0013008978,-0.013446961
ADAUSDT,2024-06-23,val,baseline,0.032110475,-0.011476621
ADAUSDT,2024-06-24,val,baseline,0.06533249,-0.009422753
ADAUSDT,2024-06-25,val,baseline,0.065686405,-0.007365253
ADAUSDT,2024-06-26,val,baseline,0.055324122,-0.0043588765
ADAUSDT,2024-06-27,val,baseline,-0.07700193,-0.001470644
ADAUSDT,2024-06-28,val,baseline,-0.09710027,0.0015631765
ADAUSDT,2024-06-29,val,baseline,-0.035509825,0.0047182105
ADAUSDT,2024-06-30,val,baseline,-0.12411035,0.007835653
ADAUSDT,2024-07-01,val,baseline,-0.08836511,0.015836505
ADAUSDT,2024-07-02,val,baseline,-0.108445786,0.02596227
ADAUSDT,2024-07-03,val,baseline,-0.046274286,0.029160501
ADAUSDT,2024-07-04,val,baseline,0.08868906,0.020526167
ADAUSDT,2024-07-05,val,baseline,0.17366764,0.014706766
ADAUSDT,2024-07-06,val,baseline,0.17501138,0.0075951964
ADAUSDT,2024-07-07,val,baseline,0.21955952,0.00097265467
ADAUSDT,2024-07-08,val,baseline,0.18678193,-0.004261866
ADAUSDT,2024-07-09,val,baseline,0.15445507,-0.0085164085
ADAUSDT,2024-07-10,val,baseline,0.11511969,-0.011412665
ADAUSDT,2024-07-11,val,baseline,0.067155704,-0.01198649
ADAUSDT,2024-07-12,val,baseline,0.052612953,-0.009639438
ADAUSDT,2024-07-13,val,baseline,-0.009785037,-0.0050081015
ADAUSDT,2024-07-14,val,baseline,0.034603953,-0.0038709082
ADAUSDT,2024-07-15,val,baseline,-0.042940818,-0.0016119443
ADAUSDT,2024-07-16,val,baseline,-0.066290036,-0.0021380223
ADAUSDT,2024-07-17,val,baseline,-0.07032105,-0.003688179
ADAUSDT,2024-07-18,val,baseline,-0.06993805,-0.007361751
ADAUSDT,2024-07-19,val,baseline,-0.05093369,-0.007032059
ADAUSDT,2024-07-20,val,baseline,-0.046095423,-0.0076053925
ADAUSDT,2024-07-21,val,baseline,-0.092784844,-0.0068887025
ADAUSDT,2024-07-22,val,baseline,-0.05572405,-0.010009993
ADAUSDT,2024-07-23,val,baseline,-0.020949626,-0.013835769
ADAUSDT,2024-07-24,val,baseline,-0.045571133,-0.01556208
ADAUSDT,2024-07-25,val,baseline,-0.0058427704,-0.016925734
ADAUSDT,2024-07-26,val,baseline,-0.13751136,-0.018472567
ADAUSDT,2024-07-27,val,baseline,-0.13572317,-0.017278966
ADAUSDT,2024-07-28,val,baseline,-0.16832714,-0.017870449
ADAUSDT,2024-07-29,val,baseline,-0.25650203,-0.018923875
ADAUSDT,2024-07-30,val,baseline,-0.19308916,-0.020476632
ADAUSDT,2024-07-31,val,baseline,-0.18046856,-0.022177275
ADAUSDT,2024-08-01,val,baseline,-0.11004237,-0.023522634
ADAUSDT,2024-08-02,val,baseline,-0.042990185,-0.023590695
ADAUSDT,2024-08-03,val,baseline,-0.053229515,-0.024587948
ADAUSDT,2024-08-04,val,baseline,-0.049429532,-0.024822082
ADAUSDT,2024-08-05,val,baseline,0.08331748,-0.018094908
ADAUSDT,2024-08-06,val,baseline,0.026827242,-0.022212457
ADAUSDT,2024-08-07,val,baseline,0.033675257,-0.02507991
ADAUSDT,2024-08-08,val,baseline,-0.079284556,-0.028739769
ADAUSDT,2024-08-09,val,baseline,-0.05366854,-0.029822785
ADAUSDT,2024-08-10,val,baseline,-0.024598604,-0.030802477
ADAUSDT,2024-08-11,val,baseline,0.019946264,-0.031119455
ADAUSDT,2024-08-12,val,baseline,-0.0068077813,-0.029655296
ADAUSDT,2024-08-13,val,baseline,0.0099503305,-0.028209444
ADAUSDT,2024-08-14,val,baseline,0.09579824,-0.026572954
ADAUSDT,2024-08-15,val,baseline,0.14717709,-0.024885897
ADAUSDT,2024-08-16,val,baseline,0.1698233,-0.022308335
ADAUSDT,2024-08-17,val,baseline,0.15410833,-0.020755384
ADAUSDT,2024-08-18,val,baseline,0.14124395,-0.019613653
ADAUSDT,2024-08-19,val,baseline,0.083714195,-0.018510524
ADAUSDT,2024-08-20,val,baseline,0.019893982,-0.015627798
ADAUSDT,2024-08-21,val,baseline,-0.052021183,-0.006747164
ADAUSDT,2024-08-22,val,baseline,-0.05041253,-0.002453208
ADAUSDT,2024-08-23,val,baseline,-0.12018239,0.0010092594
ADAUSDT,2024-08-24,val,baseline,-0.13153665,-0.0013278238
ADAUSDT,2024-08-25,val,baseline,-0.15056312,-0.007473942
ADAUSDT,2024-08-26,val,baseline,-0.0852003,-0.014969006
ADAUSDT,2024-08-27,val,baseline,-0.09516746,-0.019805197
ADAUSDT,2024-08-28,val,baseline,-0.08054255,-0.020031627
ADAUSDT,2024-08-29,val,baseline,-0.09584134,-0.017704513
ADAUSDT,2024-08-30,val,baseline,-0.097099036,-0.01632842
ADAUSDT,2024-08-31,val,baseline,-0.058796585,-0.016826704
ADAUSDT,2024-09-01,val,baseline,0.023579663,-0.017397474
ADAUSDT,2024-09-02,val,baseline,0.02148089,-0.017122742
ADAUSDT,2024-09-03,val,baseline,0.07439947,-0.01759028
ADAUSDT,2024-09-04,val,baseline,0.08907259,-0.016700365
ADAUSDT,2024-09-05,val,baseline,0.09192087,-0.015758429
ADAUSDT,2024-09-06,val,baseline,0.13583179,-0.015090961
ADAUSDT,2024-09-07,val,baseline,0.08426655,-0.016140457
ADAUSDT,2024-09-08,val,baseline,-0.0014760151,-0.016128093
ADAUSDT,2024-09-09,val,baseline,-0.03918578,-0.014443897
ADAUSDT,2024-09-10,val,baseline,-0.02747994,-0.012444545
ADAUSDT,2024-09-11,val,baseline,-0.026102155,-0.008279517
ADAUSDT,2024-09-12,val,baseline,-0.015267472,-0.0029569007
ADAUSDT,2024-09-13,val,baseline,-0.023570115,0.00157113
ADAUSDT,2024-09-14,val,baseline,0.012635293,0.0026583485
ADAUSDT,2024-09-15,val,baseline,0.038254447,0.00074951723
ADAUSDT,2024-09-16,val,baseline,0.09632802,-0.0011670962
ADAUSDT,2024-09-17,val,baseline,0.14994773,-0.0012147725
ADAUSDT,2024-09-18,val,baseline,0.10160456,0.00012403354
ADAUSDT,2024-09-19,val,baseline,0.13417222,0.0030784346
ADAUSDT,2024-09-20,val,baseline,0.13150634,0.005790677
ADAUSDT,2024-09-21,val,baseline,0.111313745,0.008070316
ADAUSDT,2024-09-22,val,baseline,0.12241639,0.008074645
ADAUSDT,2024-09-23,val,baseline,0.026053034,0.010687714
ADAUSDT,2024-09-24,val,baseline,-0.09685857,0.018267855
ADAUSDT,2024-09-25,val,baseline,-0.104223505,0.020495735
ADAUSDT,2024-09-26,val,baseline,-0.15054484,0.024674736
ADAUSDT,2024-09-27,val,baseline,-0.132927,0.024574794
ADAUSDT,2024-09-28,val,baseline,-0.1321772,0.021005236
ADAUSDT,2024-09-29,val,baseline,-0.10605957,0.016273528
ADAUSDT,2024-09-30,val,baseline,-0.061026525,0.008582786
ADAUSDT,2024-10-01,val,baseline,-0.020666637,0.0030998178
ADAUSDT,2024-10-02,val,baseline,-0.010544913,-0.00017594919
ADAUSDT,2024-10-03,val,baseline,-0.01664515,-0.0019435249
ADAUSDT,2024-10-04,val,baseline,0.0,-0.0031367429
ADAUSDT,2024-10-05,val,baseline,0.0062482455,-0.00466026
ADAUSDT,2024-10-06,val,baseline,-0.02521023,-0.0058440603
ADAUSDT,2024-10-07,val,baseline,0.036621843,-0.0063655116
ADAUSDT,2024-10-08,val,baseline,0.04063636,-0.007377874
ADAUSDT,2024-10-09,val,baseline,0.03614677,-0.008487459
ADAUSDT,2024-10-10,val,baseline,0.010544913,-0.009704139
ADAUSDT,2024-10-11,val,baseline,-0.0028473823,-0.010290299
ADAUSDT,2024-10-12,val,baseline,-0.0053939093,-0.010289766
ADAUSDT,2024-10-13,val,baseline,0.04569821,-0.009860259
ADAUSDT,2024-10-14,val,baseline,-0.009376792,-0.0058932193
ADAUSDT,2024-10-15,val,baseline,0.01492565,-0.0006604828
ADAUSDT,2024-10-16,val,baseline,-0.006839582,0.0016676784
ADAUSDT,2024-10-17,val,baseline,0.009569451,0.0017078035
ADAUSDT,2024-10-18,val,baseline,-0.07272708,0.0019124933
ADAUSDT,2024-10-19,val,baseline,-0.051398173,0.0022768937
ADAUSDT,2024-10-20,val,baseline,-0.070971884,0.0054657534
ADAUSDT,2024-10-21,val,baseline,-0.048831727,0.008559136
ADAUSDT,2024-10-22,val,baseline,-0.02331496,0.011329044
ADAUSDT,2024-10-23,val,baseline,0.015042146,0.009699527
ADAUSDT,2024-10-24,val,baseline,-0.013657048,0.007275697
ADAUSDT,2024-10-25,val,baseline,0.091931276,0.0026669018
ADAUSDT,2024-10-26,val,baseline,0.042534642,-0.0030186065
ADAUSDT,2024-10-27,val,baseline,-0.017211108,-0.0073400848
ADAUSDT,2024-10-28,val,baseline,-0.051951982,-0.0091873035
ADAUSDT,2024-10-29,val,baseline,-0.06526892,-0.0085652135
ADAUSDT,2024-10-30,val,baseline,0.022285044,-0.005674474
ADAUSDT,2024-10-31,val,baseline,0.17335816,-0.0036450215
ADAUSDT,2024-11-01,val,baseline,0.21826454,0.00036394596
ADAUSDT,2024-11-02,val,baseline,0.3552092,0.0025730915
ADAUSDT,2024-11-03,val,baseline,0.56885165,0.0017259531
ADAUSDT,2024-11-04,val,baseline,0.6308739,-0.0008951761
ADAUSDT,2024-11-05,val,baseline,0.5372714,-0.0032223426
ADAUSDT,2024-11-06,val,baseline,0.46568993,0.00025868788
ADAUSDT,2024-11-07,val,baseline,0.3540639,0.010758854
ADAUSDT,2024-11-08,val,baseline,0.4637722,0.029327467
ADAUSDT,2024-11-09,val,baseline,0.4008238,0.041806236
ADAUSDT,2024-11-10,val,baseline,0.17449573,0.060036246
ADAUSDT,2024-11-11,val,baseline,0.1777722,0.067216426
ADAUSDT,2024-11-12,val,baseline,0.25767782,0.06828296
ADAUSDT,2024-11-13,val,baseline,0.3248939,0.067448676
ADAUSDT,2024-11-14,val,baseline,0.34984922,0.06272536
ADAUSDT,2024-11-15,val,baseline,0.3639318,0.06704023
ADAUSDT,2024-11-16,val,baseline,0.36267096,0.07068741
ADAUSDT,2024-11-17,val,baseline,0.37531593,0.067957506
ADAUSDT,2024-11-18,val,baseline,0.25313303,0.06472247
ADAUSDT,2024-11-19,val,baseline,0.26235384,0.060315877
ADAUSDT,2024-11-20,val,baseline,0.23430185,0.0644392
ADAUSDT,2024-11-21,val,baseline,0.22785379,0.065468594
ADAUSDT,2024-11-22,val,baseline,0.055437032,0.07147887
ADAUSDT,2024-11-23,val,baseline,0.012308995,0.072486684
ADAUSDT,2024-11-24,val,baseline,0.11706565,0.067995444
ADAUSDT,2024-11-25,val,baseline,0.24231212,0.056479994
ADAUSDT,2024-11-26,val,baseline,0.21563862,0.044245943
ADAUSDT,2024-11-27,val,baseline,0.15998012,0.031815924
ADAUSDT,2024-11-28,val,baseline,0.11656579,0.019388977
ADAUSDT,2024-11-29,val,baseline,0.13243829,0.009427028
ADAUSDT,2024-11-30,val,baseline,0.11483358,-0.0009156205
ADAUSDT,2024-12-01,val,baseline,0.037559893,-0.010864377
ADAUSDT,2024-12-02,val,baseline,-0.18075898,-0.010592248
ADAUSDT,2024-12-03,val,baseline,-0.15385695,-0.008362915
ADAUSDT,2024-12-04,val,baseline,-0.08827576,-0.009460725
ADAUSDT,2024-12-05,val,baseline,-0.032068633,-0.014199678
ADAUSDT,2024-12-06,val,baseline,-0.09073523,-0.019835714
ADAUSDT,2024-12-07,val,baseline,-0.13165641,-0.029362421
ADAUSDT,2024-12-08,val,baseline,-0.08202747,-0.03793775
ADAUSDT,2024-12-09,val,baseline,0.07124931,-0.028650384
ADAUSDT,2024-12-10,val,baseline,0.029611075,-0.019686118
ADAUSDT,2024-12-11,val,baseline,-0.11565749,-0.02032584
ADAUSDT,2024-12-12,val,baseline,-0.2432445,-0.023034815
ADAUSDT,2024-12-13,val,baseline,-0.16567676,-0.025401462
ADAUSDT,2024-12-14,val,baseline,-0.15881123,-0.026346829
ADAUSDT,2024-12-15,val,baseline,-0.21892366,-0.0294764
ADAUSDT,2024-12-16,val,baseline,-0.15109271,-0.028564725
ADAUSDT,2024-12-17,val,baseline,-0.11723671,-0.026590597
ADAUSDT,2024-12-18,val,baseline,-0.05357382,-0.015887424
ADAUSDT,2024-12-19,val,baseline,-0.022392852,0.0012400784
ADAUSDT,2024-12-20,val,baseline,-0.079946235,0.009342505
ADAUSDT,2024-12-21,val,baseline,-0.017496407,0.014639679
ADAUSDT,2024-12-22,val,baseline,-0.028009176,0.017040575
ADAUSDT,2024-12-23,val,baseline,-0.07263105,0.010493737
ADAUSDT,2024-12-24,val,baseline,-0.101946816,0.0035085753
ADAUSDT,2025-01-01,test,baseline,0.026325759,-0.018558905
ADAUSDT,2025-01-02,test,baseline,-0.0608002,-0.025067367
ADAUSDT,2025-01-03,test,baseline,-0.15787525,-0.02989287
ADAUSDT,2025-01-04,test,baseline,-0.072822794,-0.028039169
ADAUSDT,2025-01-05,test,baseline,-0.12001952,-0.029973306
ADAUSDT,2025-01-06,test,baseline,-0.14649758,-0.034511164
ADAUSDT,2025-01-07,test,baseline,0.008054816,-0.03199064
ADAUSDT,2025-01-08,test,baseline,0.12745307,-0.02719285
ADAUSDT,2025-01-09,test,baseline,0.18581645,-0.023342658
ADAUSDT,2025-01-10,test,baseline,0.19711715,-0.02681641
ADAUSDT,2025-01-11,test,baseline,0.1039029,-0.035454564
ADAUSDT,2025-01-12,test,baseline,0.025808543,-0.034659352
ADAUSDT,2025-01-13,test,baseline,0.06656157,-0.030844849
ADAUSDT,2025-01-14,test,baseline,0.008587172,-0.03500488
ADAUSDT,2025-01-15,test,baseline,-0.090237066,-0.03574756
ADAUSDT,2025-01-16,test,baseline,-0.09883272,-0.029264867
ADAUSDT,2025-01-17,test,baseline,-0.15409184,-0.026513908
ADAUSDT,2025-01-18,test,baseline,-0.12307087,-0.019713879
ADAUSDT,2025-01-19,test,baseline,-0.04111576,0.00038054585
ADAUSDT,2025-01-20,test,baseline,-0.07709975,0.0058328956
ADAUSDT,2025-01-21,test,baseline,-0.09254011,0.00791245
ADAUSDT,2025-01-22,test,baseline,-0.0445304,0.0065938532
ADAUSDT,2025-01-23,test,baseline,-0.027953727,0.00015606731
ADAUSDT,2025-01-24,test,baseline,-0.029572187,-0.006438993
ADAUSDT,2025-01-25,test,baseline,-0.087476924,-0.015877187
ADAUSDT,2025-01-26,test,baseline,-0.1685242,-0.021169204
ADAUSDT,2025-01-27,test,baseline,-0.14051129,-0.021954801
ADAUSDT,2025-01-28,test,baseline,-0.2090918,-0.022773545
