seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5746714456391876,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.5615292712066905,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5603345280764636,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5603345280764636,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5591397849462365,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5579450418160096,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5567502986857825,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5567502986857825,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5567502986857825,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5483870967741935,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5471923536439666,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5459976105137395,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.5448028673835126,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5436081242532855,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5400238948626045,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5209080047789726,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5053763440860215,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.4958183990442055,da
