crypto,date,split,model_type,y_true,y_pred
ADAUSDT,2024-01-01,val,baseline,-0.14107859,-0.041655272
ADAUSDT,2024-01-02,val,baseline,-0.16612288,-0.039250802
ADAUSDT,2024-01-03,val,baseline,0.016208388,-0.01814267
ADAUSDT,2024-01-04,val,baseline,0.02100954,-0.033409223
ADAUSDT,2024-01-05,val,baseline,0.011386716,-0.021854453
ADAUSDT,2024-01-06,val,baseline,0.049272887,-0.022755966
ADAUSDT,2024-01-07,val,baseline,0.06004157,-0.017661966
ADAUSDT,2024-01-08,val,baseline,-0.025450476,-0.049628817
ADAUSDT,2024-01-09,val,baseline,0.044282045,-0.032213032
ADAUSDT,2024-01-10,val,baseline,-0.06911908,-0.05672666
ADAUSDT,2024-01-11,val,baseline,-0.14667583,-0.051084362
ADAUSDT,2024-01-12,val,baseline,-0.082175486,-0.035129294
ADAUSDT,2024-01-13,val,baseline,-0.06217381,-0.034663238
ADAUSDT,2024-01-14,val,baseline,-0.042601015,-0.027830146
ADAUSDT,2024-01-15,val,baseline,-0.09747325,-0.028370246
ADAUSDT,2024-01-16,val,baseline,-0.11524239,-0.02948939
ADAUSDT,2024-01-17,val,baseline,-0.10300728,-0.03059256
ADAUSDT,2024-01-18,val,baseline,-0.07432227,-0.028166093
ADAUSDT,2024-01-19,val,baseline,-0.03942692,-0.034907773
ADAUSDT,2024-01-20,val,baseline,-0.059486702,-0.03942354
ADAUSDT,2024-01-21,val,baseline,-0.025970256,-0.038116097
ADAUSDT,2024-01-22,val,baseline,0.094436035,-0.031232968
ADAUSDT,2024-01-23,val,baseline,0.07329953,-0.03492681
ADAUSDT,2024-01-24,val,baseline,0.043328818,-0.0339201
ADAUSDT,2024-01-25,val,baseline,0.08461531,-0.029937297
ADAUSDT,2024-01-26,val,baseline,0.059447214,-0.037400723
ADAUSDT,2024-01-27,val,baseline,0.052485507,-0.036340997
ADAUSDT,2024-01-28,val,baseline,0.0063027553,-0.03491181
ADAUSDT,2024-01-29,val,baseline,-0.061956305,-0.036652885
ADAUSDT,2024-01-30,val,baseline,-0.030242447,-0.02932652
ADAUSDT,2024-01-31,val,baseline,0.009201906,-0.024336137
ADAUSDT,2024-02-01,val,baseline,0.04354377,-0.023849472
ADAUSDT,2024-02-02,val,baseline,0.049474698,-0.018562272
ADAUSDT,2024-02-03,val,baseline,0.07353627,-0.013967335
ADAUSDT,2024-02-04,val,baseline,0.092838176,-0.0150150135
ADAUSDT,2024-02-05,val,baseline,0.123162284,-0.015653826
ADAUSDT,2024-02-06,val,baseline,0.089399986,-0.01661931
ADAUSDT,2024-02-07,val,baseline,0.13849714,-0.01630906
ADAUSDT,2024-02-08,val,baseline,0.13769409,-0.0047182515
ADAUSDT,2024-02-09,val,baseline,0.101729,0.013006307
ADAUSDT,2024-02-10,val,baseline,0.100161165,0.026846081
ADAUSDT,2024-02-11,val,baseline,0.13443144,0.03190908
ADAUSDT,2024-02-12,val,baseline,0.12048166,0.03894709
ADAUSDT,2024-02-13,val,baseline,0.13169451,0.03565097
ADAUSDT,2024-02-14,val,baseline,0.037432067,0.041113496
ADAUSDT,2024-02-15,val,baseline,-0.038347103,0.043826327
ADAUSDT,2024-02-16,val,baseline,-0.027436098,0.041069493
ADAUSDT,2024-02-17,val,baseline,-0.02105341,0.04250543
ADAUSDT,2024-02-18,val,baseline,-0.0460972,0.043801844
ADAUSDT,2024-02-19,val,baseline,-0.018722044,0.04537736
ADAUSDT,2024-02-20,val,baseline,0.0036933,0.041205987
ADAUSDT,2024-02-21,val,baseline,0.048726544,0.037535265
